X (Km)	Y (Km)	SiO2 (%)	Fe2O3 (%)	CaO (%)	MgO (%)
-1.5500000e+001	-1.5865000e+002	6.6870000e+001	3.9300000e+000	2.5500000e+000	1.4200000e+000
-2.1480000e+001	-1.5662000e+002	6.5720000e+001	4.4500000e+000	2.8600000e+000	1.7000000e+000
-2.1280000e+001	-1.5420000e+002	6.5200000e+001	4.5700000e+000	2.9700000e+000	1.7100000e+000
-2.4080000e+001	-1.5695000e+002	6.3520000e+001	4.8800000e+000	3.0600000e+000	1.8600000e+000
-2.2100000e+001	-1.5772000e+002	6.4580000e+001	4.4500000e+000	2.8200000e+000	1.6500000e+000
-2.1020000e+001	-1.5520000e+002	6.5520000e+001	4.3400000e+000	2.7400000e+000	1.5900000e+000
-1.9600000e+001	-1.5405000e+002	6.6000000e+001	4.0500000e+000	2.4000000e+000	1.4700000e+000
-1.7650000e+001	-1.5550000e+002	6.5550000e+001	4.4900000e+000	2.8600000e+000	1.5900000e+000
-1.6980000e+001	-1.5525000e+002	6.7500000e+001	3.8800000e+000	2.5100000e+000	1.4000000e+000
-1.6650000e+001	-1.5815000e+002	6.6040000e+001	4.9100000e+000	3.2100000e+000	1.7900000e+000
-1.8600000e+001	-1.5840000e+002	6.4180000e+001	5.0600000e+000	3.2600000e+000	1.8600000e+000
-1.8350000e+001	-1.5940000e+002	6.3870000e+001	5.0200000e+000	3.1800000e+000	1.9000000e+000
-3.0780000e+001	-1.5230000e+002	6.4480000e+001	4.5900000e+000	3.0400000e+000	1.6900000e+000
-2.7600000e+001	-1.5210000e+002	6.4160000e+001	4.9300000e+000	3.3000000e+000	1.7400000e+000
-2.5700000e+001	-1.5285000e+002	6.4980000e+001	4.6600000e+000	3.1700000e+000	1.7000000e+000
-2.7500000e+001	-1.5455000e+002	6.5310000e+001	4.6500000e+000	2.9100000e+000	1.6800000e+000
-2.8400000e+001	-1.5562000e+002	6.7980000e+001	3.6800000e+000	2.5000000e+000	1.2800000e+000
-3.0280000e+001	-1.5062000e+002	6.4650000e+001	4.6300000e+000	3.3700000e+000	1.6100000e+000
-2.6750000e+001	-1.5365000e+002	6.4660000e+001	4.6600000e+000	2.9900000e+000	1.7200000e+000
-2.4120000e+001	-1.5428000e+002	6.6460000e+001	4.3200000e+000	2.9300000e+000	1.5600000e+000
-2.5180000e+001	-1.5542000e+002	6.5590000e+001	4.4400000e+000	2.8400000e+000	1.6200000e+000
-2.4480000e+001	-1.5602000e+002	6.5390000e+001	4.2200000e+000	2.6400000e+000	1.5700000e+000
-2.5600000e+001	-1.5710000e+002	6.4060000e+001	4.9900000e+000	3.3300000e+000	1.8400000e+000
-2.7150000e+001	-1.5820000e+002	6.8650000e+001	3.1700000e+000	2.2700000e+000	1.1300000e+000
-1.5150000e+001	-1.5500000e+002	6.8240000e+001	3.9100000e+000	1.7200000e+000	1.1000000e+000
-1.2980000e+001	-1.5735000e+002	6.9230000e+001	3.8300000e+000	1.8800000e+000	1.0700000e+000
-1.4200000e+001	-1.5542000e+002	6.9490000e+001	3.3700000e+000	1.7300000e+000	9.2000000e-001
-1.9980000e+001	-1.5120000e+002	6.9670000e+001	3.0000000e+000	1.5000000e+000	8.7000000e-001
-1.7080000e+001	-1.5145000e+002	6.9230000e+001	3.3400000e+000	1.5000000e+000	1.0000000e+000
-2.2780000e+001	-1.5142000e+002	7.0500000e+001	2.9000000e+000	1.4400000e+000	7.9000000e-001
-2.3650000e+001	-1.5020000e+002	7.0180000e+001	2.9400000e+000	1.3300000e+000	8.1000000e-001
-1.9980000e+001	-1.4992000e+002	6.7990000e+001	3.2600000e+000	1.4400000e+000	1.0100000e+000
-2.0900000e+001	-1.4458000e+002	7.2210000e+001	2.5500000e+000	1.2400000e+000	6.4000000e-001
-2.4150000e+001	-1.4205000e+002	6.8740000e+001	3.4000000e+000	1.6800000e+000	1.0200000e+000
-2.1050000e+001	-1.4580000e+002	7.1370000e+001	2.6900000e+000	1.2200000e+000	7.2000000e-001
-2.3000000e+001	-1.4642000e+002	7.1520000e+001	2.2600000e+000	1.0800000e+000	6.0000000e-001
-2.1100000e+001	-1.4725000e+002	7.1100000e+001	2.6100000e+000	1.3100000e+000	7.1000000e-001
-1.9800000e+001	-1.4892000e+002	6.9980000e+001	3.1900000e+000	1.5700000e+000	9.1000000e-001
-2.3300000e+001	-1.4895000e+002	6.9890000e+001	2.9500000e+000	1.3200000e+000	8.3000000e-001
-8.9500000e+000	-1.5052000e+002	7.0680000e+001	2.6800000e+000	1.4400000e+000	8.8000000e-001
-8.7000000e+000	-1.5170000e+002	7.1470000e+001	2.6000000e+000	1.3300000e+000	9.1000000e-001
-7.7500000e+000	-1.5270000e+002	7.0380000e+001	2.4700000e+000	1.3700000e+000	7.8000000e-001
-7.4000000e+000	-1.5358000e+002	7.0610000e+001	2.8300000e+000	1.3900000e+000	9.6000000e-001
-5.2200000e+000	-1.5650000e+002	7.0760000e+001	2.3200000e+000	1.1500000e+000	6.8000000e-001
-5.8200000e+000	-1.5235000e+002	7.0960000e+001	2.6600000e+000	1.4100000e+000	8.0000000e-001
-1.5050000e+001	-1.5122000e+002	7.0730000e+001	2.7900000e+000	1.3200000e+000	7.9000000e-001
-1.1920000e+001	-1.5038000e+002	7.0340000e+001	2.7300000e+000	1.3300000e+000	8.7000000e-001
-1.0320000e+001	-1.5098000e+002	6.9300000e+001	2.8400000e+000	1.2800000e+000	9.1000000e-001
-9.8200000e+000	-1.5220000e+002	7.0000000e+001	2.7600000e+000	1.3400000e+000	9.1000000e-001
-1.2950000e+001	-1.5228000e+002	7.1580000e+001	2.6200000e+000	1.2500000e+000	7.8000000e-001
-1.0700000e+001	-1.5570000e+002	7.0620000e+001	2.7200000e+000	1.4400000e+000	8.1000000e-001
-1.1600000e+001	-1.5775000e+002	7.1480000e+001	2.5700000e+000	1.2500000e+000	7.7000000e-001
-6.1200000e+000	-1.5760000e+002	7.1670000e+001	2.2200000e+000	1.2200000e+000	6.7000000e-001
-6.3200000e+000	-1.5465000e+002	7.1700000e+001	2.4500000e+000	1.3700000e+000	7.6000000e-001
-3.1000000e+000	-1.5870000e+002	7.1120000e+001	2.4100000e+000	1.3400000e+000	7.6000000e-001
-1.9200000e+000	-1.5818000e+002	7.1810000e+001	2.3100000e+000	1.2200000e+000	6.6000000e-001
-9.8000000e-001	-1.5305000e+002	7.2210000e+001	2.0200000e+000	1.0500000e+000	5.7000000e-001
-3.0500000e+000	-1.5755000e+002	7.0600000e+001	2.4400000e+000	1.2400000e+000	7.3000000e-001
-1.3650000e+001	-1.4335000e+002	7.0370000e+001	2.9100000e+000	1.3700000e+000	9.3000000e-001
-1.3050000e+001	-1.4290000e+002	7.0190000e+001	3.0400000e+000	1.4300000e+000	9.1000000e-001
-1.1500000e+001	-1.4338000e+002	6.9800000e+001	3.0200000e+000	1.4600000e+000	9.0000000e-001
-1.0820000e+001	-1.4385000e+002	7.0410000e+001	2.8200000e+000	1.4000000e+000	7.8000000e-001
